name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,bomber_mars,bomber_pb,bomber_ef,bomber_lr,fighter_mars,fighter_pb,fighter_ef,fighter_lr,carrier,cloud_generator,combat_deployment_model,combat_deployment_number,crushing_impact,diehard_crew,disruption_generator,diving,drift,elite_crew,escort,fearless,flexible_squadron,independent_move,inventive_scientists,kinetic_generator,mimic_generator,minelayer,node_disruption_generator,repair,restricted_boarding,security_posts,small_target,special_forces,squadron_support_model,squadron_support_number,special_rules
Prometheus Dreadnought,CoA_flag.png,CoA_dread.png,Large Naval Model,360,1,6,6,18,6”,9,10,10,Standard,Broadsides,P/S,,14,12,8,passive,Plasma,Fixed Weapon,F,"Lethal, Massed Fire, Punishing",18,-,-,passive,Energy,Turret Battery,F/P/S,Punishing,10,10,10,passive,Energy,Turret Battery,A/P/S,Punishing,10,10,10,passive,Standard,Bombard,F,Indirect Fire,-,14,16,passive,,,,,,,,,,,,,,,,,,x,,,,,3,x,,,,,,,,,Galen Escort,0-3,
Diophantus Fleet Carrier Dreadnought,CoA_flag.png,CoA_carrier.png,Large Naval Model,310,1,6,6,17,6”,9,10,8,Standard,Broadsides,P/S,Massed Fire,18,14,6,passive,Plasma,Fixed Weapon,F,"Lethal, Massed Fire, Punishing",20,-,-,passive,Torpedo,Battery,F,Punishing,12,12,12,active,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),6,6,6,Hunter (Aerial),6,6,6,3,,,,,,,x,,x,,,,,2,,,,,,,,,,Galen Escort,0-3,
Aristotle Battleship,CoA_flag.png,CoA_Aristotle.png,Large Naval Model,240,1,4,4,10,6”,8,8,6,Standard,Broadsides,P/S,Massed Fire,9,6,4,passive,Plasma,Fixed Weapon,F,"Lethal, Massed Fire, Punishing",16,-,-,passive,Energy,Turret Battery,F/P/S,Punishing,11,11,11,passive,Energy,Turret Battery,A/P/S,Punishing,11,11,11,passive,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,2,x,,,,,,,,,Galen Escort,0-3,
Descartes Mk.I Battleship,CoA_flag.png,,Large Naval Model,170,1,5,4,7,9”,7,7,7,Standard,Broadsides,P/S,Massed Fire,8,6,3,passive,Torpedo,Battery,F,Punishing,8,8,8,active,Energy,Turret Battery,F/P/S,Punishing,11,11,11,passive,Energy,Turret Battery,A/P/S,Punishing,6,6,6,passive,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,2,,,,,,,,,,Galen Escort,0-3,<b>Hit and Run</b> This Model mach choose to Attack after completing its Drift move and before performing is remaining move. If it chooses to do so then the Models Activation will end after completing its Remaining Move
Descartes Mk.II Battleship,CoA_flag.png,,Large Naval Model,170,1,5,4,7,9”,7,7,8,Standard,Broadsides,P/S,Massed Fire,8,6,3,passive,Plasma,Turret,360,"Lethal, Massed Fire, Punishing",20,-,-,passive,Torpedo,Battery,F,Punishing,9,9,8,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,2,,,,,,,,,3,Galen Escort,0-3,
Pericles Assault Carrier,CoA_flag.png,,Large Naval Model,190,1,4,3,11,7”,7,8,6,Standard,Broadsides,P/S,Massed Fire,8,7,4,passive,Torpedo,Battery,F,Punishing,8,8,8,active,Energy,Turret Battery,F/P/S,Punishing,6,6,6,passive,Energy,Turret Battery,A/P/S,Punishing,6,6,6,passive,,,,,,,,,Hunter (Non-Aerial),5,5,5,Hunter (Aerial),5,5,5,4,,,,,,,,,x,,,,,2,,,,,,,,,,Galen Escort,0-3,
Menedaius Repair Tender Ship,CoA_flag.png,,Large Naval Model,175,1,5,4,7,6”,7,8,6,Standard,Broadsides,P/S,Massed Fire,9,6,-,passive,Torpedo,Battery,F,Punishing,9,9,9,active,Energy,Turret Battery,F/P/S,Punishing,6,6,6,passive,Energy,Turret Battery,A/P/S,Punishing,6,6,6,passive,,,,,,,,,,,,,,,,,,,Newton,4,,,,,,x,,,,,2,,,,,2,,1,,,Galen Escort,0-3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippasus Battlecruiser,CoA_flag.png,,Medium Naval Model,135,1,4,5,5,8”,6,6,5,Standard,Broadsides,P/S,,8,5,2,passive,Torpedo,Battery,F,Punishing,8,8,8,active,Energy,Turret Battery,F/P/S,Punishing,7,7,7,passive,Energy,Turret Battery,A/P/S,Punishing,7,7,7,passive,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,3,,,,,,,,,,Galen Escort,0-3,
Fresnel Support Cruiser,CoA_flag.png,CoA_Fresnel.png,Medium Naval Model,100,1-2,3,4,4,8”,5,5,3,Energy,Broadsides,P/S,Punishing,3,3,3,passive,,,,,,,,,Energy,Turret Battery,F/P/S,Punishing,7,7,7,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,2,,,,,,,,,,,,
Kepler Light Carrier,CoA_flag.png,CoA_Kepler.png,Medium Naval Model,90,1-2,2,2,4,8”,5,5,3,Standard,Broadsides,P/S,Massed Fire,8,6,4,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),5,5,-,Hunter (Aerial),5,5,-,1,,,,,,,x,,x,,,,,1,,,,,,,,,,Galen Escort,0-3,
Zeno Armoured Cruiser,CoA_flag.png,CoA_Zeno.png,Medium Naval Model,100,1-2,3,3,4,9”,6,5,4,Standard,Broadsides,P/S,Massed Fire,8,6,4,passive,Plasma,Fixed Weapon,F,"Lethal, Massed Fire, Punishing",10,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,1,,,x,,,,,,,,,
