name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,bomber_mars,bomber_pb,bomber_ef,bomber_lr,fighter_mars,fighter_pb,fighter_ef,fighter_lr,carrier,cloud_generator,combat_deployment_model,combat_deployment_number,crushing_impact,diehard_crew,disruption_generator,diving,drift,elite_crew,escort,fearless,flexible_squadron,independent_move,inventive_scientists,kinetic_generator,mimic_generator,minelayer,node_disruption_generator,repair,restricted_boarding,security_posts,small_target,special_forces,squadron_support_model,squadron_support_number,special_rules
Hachiman Dreadnought,EotBS_flag.png,EotBS_Hachiman.png,Large Naval Model,375,1,5,6,15,8”,12,10,10,Standard,Broadsides,P/S,,9,7,-,passive,Incendiary,Turret,F/P/S,Lethal,12,8,7,passive,Incendiary,Turret,A/P/S,Lethal,12,8,7,passive,Rocket,Battery,360°,Lethal,-,12,18,active,Torpedo,Battery,F,Lethal,13,-,-,active,,,,,,,,,,,,,1,,x,,,x,,,,,,,,,,,,,,,Kitsune Escorts,0-3,
Kaiju Heavy Battleship,EotBS_flag.png,,Large Naval Model,220,1,4,5,9,6”,9,9,7,Standard,Broadsides,P/S,,8,7,-,passive,Incendiary,Turret,F/P/S,Lethal,10,7,5,passive,Incendiary,Turret,A/P/S,Lethal,10,7,5,passive,Rocket,Battery,360°,Lethal,-,10,14,active,Torpedo,Battery,F,,11,6,-,active,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,Kitsune Escorts,0-3,
Yokai Mk.I Battleship,EotBS_flag.png,,Large Naval Model,190,1,5,2,8,7”,9,8,10,Standard,Broadsides,P/S,Massed Fire,9,7,-,passive,Incendiary,Turret,F/P/S,Disruption,8,7,4,passive,Incendiary,Turret,A/P/S,Disruption,8,7,4,passive,Rocket,Battery,360°,Lethal,-,9,10,active,Torpedo,Battery,F,Lethal,10,-,-,active,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,1,Kitsune Escorts,0-3,
Yokai Mk.II Battleship,EotBS_flag.png,,Large Naval Model,190,1,5,2,8,7”,9,8,9,Standard,Broadsides,P/S,Massed Fire,9,7,-,passive,Incendiary,Turret,A/P/S,Lethal,8,7,4,passive,Rocket,Battery,P/S,Lethal,-,9,10,active,Torpedo,Battery,F,Lethal,10,-,-,active,,,,,,,,,Hunter (Non-Aerial),6,6,-,Hunter (Aerial),6,6,-,2,,,,,,x,,,,,,,,,,,,,,,,,,Kitsune Escorts,0-3,
Ika Mechanical Squid,EotBS_flag.png,EotBS_Ika.png,Large Naval Model,105,1,3,3,5,9”,8,6,9,Standard,Fixed Weapon,F/P/S,Punishing,10,5,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,4”,,,3,,,
Kiyohime Assault Carrier,EotBS_flag.png,EotBS_Kiyohime.png,Large Naval Model,160,1,5,3,8,7”,8,9,7,Standard,Broadsides,P/S,,10,6,3,passive,Incendiary,Turret,F,Lethal,14,12,6,passive,Torpedo,Battery,F,Lethal,10,-,-,active,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),6,6,-,Hunter (Aerial),6,6,-,2,,,,,,x,,,,,,,,,,,,,,,,,,Kitsune Escorts,0-3,
Toyokawa Repair Ship,EotBS_flag.png,,Large Naval Model,180,1,4,5,8,7”,9,7,8,Standard,Broadsides,P/S,"Lethal, Massed Fire",10,8,6,passive,Incendiary,Turret,A/P/S,Disruption,8,7,4,passive,Torpedo,Battery,F,Lethal,13,8,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,Kitsune Escorts,0-3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yurei Terror Ship,EotBS_flag.png,,Medium Naval Model,150,1,4,4,7,8”,7,6,6,Standard,Broadsides,P/S,,9,7,4,passive,Incendiary,Flamethrower,F,"Flame, Punshing",12,-,-,passive,Rocket,Battery,360°,"Lethal, Indirect Fire, Punishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,2,,,,,
Mizuchi Battlecruiser,EotBS_flag.png,,Medium Naval Model,130,1,3,4,5,8”,7,6,6,Standard,Broadsides,P/S,,9,6,3,passive,Incendiary,Turret,F/P/S,Lethal,10,8,6,passive,Incendiary,Turret,A/P/S,Lethal,10,8,6,passive,Torpedo,Battery,F,Lethal,10,-,-,active,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,Kitsune Escorts,0-3,
