name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,weapon_6_type,weapon_6_name,weapon_6_arc,weapon_6_mars,weapon_6_pb,weapon_6_ef,weapon_6_lr,weapon_6_defense,mars,special_rules
Majesty Dreadnought,KoB_flag.png,,Large Naval Model,320,1,5,7,16,6”,10,12,10,Gunnery,Broadside Battery,P/S,Massed Fire,10,8,-,passive,Torpedo,Battery,F,Punishing,-,20,18,active,Standard,Turret Battery,F/P/S,,12,10,6,passive,Standard,Turret Battery,A/P/S,,12,10,6,passive,,,,,,,,,,,,,,,,,Elite Crew,<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly
Avenger Fleet Carrier,KoB_flag.png,KB_Avenger.png,Large Naval Model,200,1,5,6,12,6”,7,12,8,Standard,Broadside Battery,P/S,Punishing,16,14,-,passive,Torpedo,Battery,F,Punishing,-,12,8,active,Torpedo,Battery,P/S,Punishing,-,9,6,active,,,,,,,,,,Bombers,360°,Hunter (Non-Aerial),5,5,-,active,,Fighters,360°,Hunter (Aerial),6,6,-,active,"Carrier (3), Elite Crew",<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly
Monarch Heavy Battleship,KoB_flag.png,,Large Naval Model,220,1,4,5,9,6”,8,9,8,Gunnery,Broadside Battery,P/S,Massed Fire,8,7,-,passive,Torpedo,Battery,F,Punishing,-,16,12,active,Torpedo,Battery,P/S,Punishing,-,12,8,active,Standard,Turret Battery,F/P/S,Punishing,10,7,5,passive,Standard,Turret Battery,A/P/S,Punishing,10,7,5,passive,,,,,,,,,Elite Crew,<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly
Magnate Mk.I Heavy Battleship,KoB_flag.png,,Large Naval Model,190,1,5,4,8,9”,8,8,7,Gunnery,Broadside Battery,P/S,Massed Fire,7,6,-,passive,Torpedo,Battery,F,Punishing,-,10,9,active,Torpedo,Battery,P/S,Punishing,-,7,6,active,Standard,Turret Battery,F/P/S,Punishing,10,7,3,passive,Standard,Turret Battery,A/P/S,Punishing,10,7,3,passive,,,,,,,,,,<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly
Magnate Mk.II Heavy Battleship,KoB_flag.png,,Large Naval Model,190,1,5,4,9,7”,8,8,8,Gunnery,Broadside Battery,P/S,Massed Fire,7,6,-,passive,Torpedo,Battery,F,Punishing,-,10,9,active,Torpedo,Battery,P/S,Punishing,-,7,6,active,Standard,Turret Battery,F/P/S,Punishing,8,5,-,passive,Standard,Turret Battery,A/P/S,Punishing,8,5,-,passive,Bombard,Battery,P/S,"Indirect Fire, Punishing",-,10,12,passive,,<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly \n <b>Bunker Buster:</b> When targeting Models with the <i>Fortification</i> MAR the <b>Bombar Battery</b> may re-roll initial rolls of 1
Regent Assault Carrier,KoB_flag.png,,Large Naval Model,195,1,5,5,8,6”,8,7,7,Standard,Fixed Weapon,F,"Punishing, Lethal",15,9,-,passive,Torpedo,Battery,A/P/S,Punishing,9,7,-,active,Torpedo,Battery,P/S,Punishing,-,8,7,active,,,,,,,,,,Bombers,360°,Hunter (Non-Aerial),5,5,-,active,,Fighters,360°,Hunter (Aerial),6,6,-,active,"Carrier (2), Elite Crew",<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly
Dynasty Repair Ship,KoB_flag.png,,Large Naval Model,190,1,5,4,9,7”,8,9,7,Torpedo,Battery,F,"Hunter (Diving), Punishing",-,14,11,active,Torpedo,Broadsides,P/S,"Hunter (Diving), Punishing",-,9,8,active,Torpedo,Turret Battery,A/P/S,"Hunter (Diving), Punishing",11,8,-,active,,,,,,,,,,,,,,,,,,,,,,,,,"Repair (3), Security Posts (2)",<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly
Vengance Submarine,KoB_flag.png,,Large Naval Model,130,1,4,4,5,8”,6,6,5,Torpedo,Battery,F,"Hunter (Non-Aerial), Punishing",-,18,15,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crusting Impact (+8), Elite Crew",<b>Hated Foe:</b> This vessel is worth +4VP if destroyed by a Prussian Empire model in addition to all other VP bonuses. Each Medium or Large Prussian Empire Model destroyed by this vessel is worth +1 VP in addition to all other bonuses.
Lord Hood Battlecruiser,KoB_flag.png,,Medium Naval Model,130,1,4,3,5,8”,6,6,5,Standard,Turret Battery,F/P/S,,15,12,8,passive,Standard,Turret,A/P/S,,7,6,3,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elite Crew,<b>Squadron Support:</b> This Squadron may have 0-3 Naval <b>Bastion Escorts</b> <i>Attached</i> increasing the points cost of the Squadron accordingly
Agincourt Gunship,KoB_flag.png,KB_Agincourt.png,Medium Naval Model,85,1-3,3,3,3,7”,6,5,4,Torpedo,Battery,F,Punishing,,6,4,active,Torpedo,Battery,A/P/S,Punishing,6,4,-,active,Standard,Turret,F/P/S,,7,6,3,passive,,,,,,,,,,,,,,,,,,,,,,,,,,
