name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,weapon_6_type,weapon_6_name,weapon_6_arc,weapon_6_mars,weapon_6_pb,weapon_6_ef,weapon_6_lr,weapon_6_defense,mars,special_rules
Eisjungfrau Super Carrier (Ice Maiden),Prussian_flag.png,PE_Ice_Maiden.jpg,Large Naval Model,510,1,8,4,30,4”,13,20,18,Tesla,Torpedoes,P/S,Lethal,16,12,8,passive,Tesla,Fixed Weapon,F,Lethal,24,18,12,passive,Tesla,Battery,360°,Lethal,12,-,-,passive,,,,,,,,,,Bombers,360°,Hunter (Non-Aerial),6,6,-,active,,Fighters,360°,Hunter (Aerial),5,5,-,active,"Carrier (5), Crushing Impact (4), Disruption Generator, Elite Crew, Security Posts (2)","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly \n <b>Doom on the Horizon:</b> The Ice Maiden must be deployed with its aft in contact with the table edge. \n <b>Vast:</b> Line of sight to and from this model is not blocked by other Large Models, though it may be blocked by relevant terrain."
Blucher Dreadnought,Prussian_flag.png,PE_Blucher.png,Large Naval Model,325,1,5,5,16,8”,11,10,12,Tesla,Broadsides,P/S,"Massed Fire, Lethal",12,8,-,passive,Tesla,Fixed Weapon,F,Lethal,20,15,5,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,12,8,5,passive,Gunnery,Turret Battery,A/P/S,Massed Fire,12,8,5,passive,,,,,,,,,,,,,,,,,"Disruption Generator, Elite Crew, Security Posts (2)","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Elbe Fleet Carrier Dreadnought,Prussian_flag.png,,Large Naval Model,300,1,7,3,18,8”,11,10,9,Tesla,Broadsides,P/S,"Massed Fire, Lethal",9,6,-,passive,Tesla,Fixed Weapon,F,Lethal,16,12,3,passive,Tesla,Battery,360°,Lethal,10,8,-,passive,,,,,,,,,,Bombers,360°,Hunter (Non-Aerial),6,6,-,active,,Fighters,360°,Hunter (Aerial),5,5,-,active,"Carrier (3), Elite Crew, Security Posts (2)","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Kaiser Karl Battleship,Prussian_flag.png,,Large Naval Model,225,1,4,4,9,8”,9,9,8,Standard,Broadsides,P/S,Massed Fire,11,8,-,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,14,12,6,passive,Gunnery,Turret,A/P/S,Massed Fire,7,6,3,passive,Tesla,Battery,F,Lethal,12,8,6,passive,,,,,,,,,,,,,,,,,Elite Crew,"<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Eider Mk.I Battleship,Prussian_flag.png,,Large Naval Model,195,1,6,2,8,8”,8,8,10,Gunnery,Broadsides,P/S,"Hunter (Aerial), Massed Fire",9,7,-,passive,Standard,Turret Battery,F/P/S,Punishing,14,12,6,passive,Standard,Turret,A/P/S,Punishing,7,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Elite Crew, Security Posts (2)","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Eider Mk.II Battleship,Prussian_flag.png,,Large Naval Model,195,1,6,2,8,8”,8,8,10,Tesla,Broadsides,P/S,Lethal,6,5,-,passive,Tesla,Turret Battery,F/P/S,Lethal,12,11,-,passive,Tesla,Turret,A/P/S,Lethal,6,5,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Elite Crew, Security Posts (3)","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Sturmbringer Submarine,Prussian_flag.png,,Large Naval Model,180,1,3,3,8,10”,6,7,4,Tesla,Turret,F/P/S,Lethal,8,6,-,passive,Tesla,Turret Battery,A/P/S,Lethal,8,6,-,passive,Tesla,Bombard,F,"Lethal, Indirect Fire",-,10,8,passive,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Elite Crew","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Gustav Monitor,Prussian_flag.png,,Large Naval Model,200,1,5,4,9,5”,7,7,6,Tesla,Battery,F/A,Lethal,6,-,-,passive,Tesla,Torpedos,P/S,Lethal,9,7,6,active,Tesla,Bombard,F,"Corrosive, Indirect Fire, Lethal",-,18,14,none,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Security Posts (1)",
Rhine Assault Carrier,Prussian_flag.png,PE_Rhine.png,Large Naval Model,170,1,6,3,6,7”,7,7,7,Tesla,Broadsides,P/S,"Massed Fire, Lethal",14,10,-,passive,Tesla,Bombard,F,"Lethal, Indirect Fire",-,12,15,none,,,,,,,,,,,,,,,,,,Bombers,360°,Hunter (Non-Aerial),6,6,-,active,,Fighters,360°,Hunter (Aerial),5,5,-,active,"Carrier (2), Elite Crew, Security Posts (2)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
