name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,bomber_mars,bomber_pb,bomber_ef,bomber_lr,fighter_mars,fighter_pb,fighter_ef,fighter_lr,carrier,cloud_generator,combat_deployment_model,combat_deployment_number,crushing_impact,diehard_crew,disruption_generator,diving,drift,elite_crew,escort,fearless,flexible_squadron,independent_move,inventive_scientists,kinetic_generator,mimic_generator,minelayer,node_disruption_generator,repair,restricted_boarding,security_posts,skimmer,small_target,special_forces,squadron_support_model,squadron_support_number,special_rules,faction_rules
Moskva Dreadnought,Russian_flag.png,RC_Moskva.png,Large Naval Model,320,1,5,3,15,6”,11,10,10,Standard,Broadsides,P/S,Massed Fire,12,12,6,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,28,24,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,2,,,,Veliky Escorts,0-3,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Khatanga Heavy Battleship,Russian_flag.png,RC_Khatanga.png,Large Naval Model,250,1,4,2,10,6”,10,9,10,Standard,Broadsides,P/S,Massed Fire,10,10,10,passive,Mortar,Battery,360°,"Indirect Fire, Lethal",-,13,18,passive,Mortar,Battery,360°,Lethal,10,10,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,x,,,,,,,,,Veliky Escorts,0-3,"<b>Glacier Generator:</b> After game sides have been determined, all models with the <i>Glacier Generator</i> Special Rule may place one iceberg anywhere within 24” on the Water at the <i>Combat (Surface)</i> Height Level.",<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Murmansk Dreadnought Support Rig,Russian_flag.png,,Large Naval Model,390,1,7,3,18,6”,11,10,12,Gunnery,Battery,F/P/S,Punishing,-,16,13,passive,Mortar,Battery,360°,"Indirect Fire, Lethal",-,12,-,passive,Mortar,Battery,360°,"Indirect Fire, Lethal",-,12,-,passive,Torpedo,Battery,F,"Lethal, Punishing",20,16,10,active,,,,,,,,,,,,,,,,,,,Kavkaz Drillers,8,,,,,,x,,,,,,,,,,4,,3,,,,Veliky Escorts,0-3,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Borodino Battleship,Russian_flag.png,RC_Borodino.png,Large Naval Model,225,1,4,2,9,7”,10,8,9,Standard,Broadsides,P/S,Massed Fire,9,7,4,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,24,20,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,Veliky Escorts,0-3,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Pakhtusov Mk.I Battleship,Russian_flag.png,,Large Naval Model,180,1,4,2,9,7”,9,8,7,Standard,Broadsides,P/S,Massed Fire,8,6,-,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,17,14,-,passive,Gunnery,Fixed Weapon,F,"Lethal, Punishing",-,13,11,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Veliky Escorts,0-3,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Pakhtusov Mk.II Battleship,Russian_flag.png,,Large Naval Model,180,1,4,4,7,7”,8,8,11,Standard,Broadsides,P/S,Massed Fire,15,10,-,passive,Mortar,Battery,F/P/S,"Indirect Fire, Lethal",12,12,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,Veliky Escorts,0-3,"<b>Glacier Generator:</b> After game sides have been determined, all models with the <i>Glacier Generator</i> Special Rule may place one iceberg anywhere within 24” on the Water at the <i>Combat (Surface)</i> Height Level.",<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Magadan Submarine,Russian_flag.png,,Large Naval Model,185,1,4,2,9,7”,8,8,6,Mortar,Battery,F/P/S,"Indirect Fire, Lethal",-,14,-,passive,Mortar,Battery,A/P/S,"Indirect Fire, Lethal",-,8,-,passive,Torpedo,Battery,F,Lethal,12,10,8,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Dudinka Assault Carrier,Russian_flag.png,,Large Naval Model,180,1,5,2,10,7”,8,8,10,Standard,Broadsides,P/S,Massed Fire,8,7,4,passive,Mortar,Broadsides,P/S,"Indirect Fire, Lethal",-,9,12,passive,Gunnery,Battery,F,"Massed Fire, Punishing",14,12,8,passive,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),5,5,-,Hunter (Aerial),6,6,-,2,,,,,,,,,,,,,,,,x,,,,,,,,,Veliky Escorts,0-3,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Kostroma Fleet Carrier,Russian_flag.png,RC_Kostroma.png,Large Naval Model,220,1,7,2,12,6”,8,9,11,Standard,Broadsides,P/S,Massed Fire,16,12,8,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),6,6,-,Hunter (Aerial),5,5,-,3,,,,,,,,,,,,,,,,,,,,,,,,,Veliky Escorts,0-3,"<b>Glacier Generator:</b> After game sides have been determined, all models with the <i>Glacier Generator</i> Special Rule may place one iceberg anywhere within 24” on the Water at the <i>Combat (Surface)</i> Height Level.",<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
